genreId,genreName
g_1205,Point of View Shot
g_1210,Steadycam
g_1250,Student Film
g_1479,Erotic Comedy Film
g_1479,Raunchy comedy
g_1505,Famous Score
g_1597,Macho
g_2370,Heimatfilm
g_2370,Regional film
g_2579,Sad Ending
g_2579,Tragic Ending
g_2579,Unhappy End
g_2648,Polish Film School
g_2712,High School Comedy Film
g_2713,Comedy Of Mistaken Identity
g_2717,Gebirgsschmonzette
g_2717,Mountain Film
g_2730,Buddy Cop
g_2731,Buddy Film
g_2731,Buddy Movie
g_2737,Italian Crime Film
g_2737,Italo Crime
g_2737,poliziesco
g_2738,Gangster Film
g_2748,End Times Road Movie
g_2759,Folk Tale
g_2759,Folktale
g_2774,Historical Fantasy
g_2774,Pseudohistorical Fantasy
g_2888,Farce
g_2889,Fugitive Drama
g_2889,Refugee Drama
g_2890,Biographical Film
g_2890,Biographical picture
g_2890,Biopic
g_2890,Film Biographie
g_2891,Action Super Hero
g_2891,Super Hero
g_2892,Ninkyo Film
g_2894,Modern Yakuza Film
g_2895,Fairy Tale
g_2896,Flop
g_2915,Gross Out Film
g_2915,Gross-Out Film
g_2916,Erotic Film
g_2926,W??xi??
g_2926,Wuxia Film
g_2932,Japanese Monster Movie
g_2979,Hard Science Fiction
g_2979,Hard SF
g_2979,Scientific Science Fiction
g_3004,Computer Game
g_3004,Video Game
g_3082,Ghost-Movie
g_3083,Exorcism Film
g_3084,Bible Film
g_3087,Ninja Film
g_3109,Sexploitation Film
g_3110,Sex Film
g_3111,Sex Education
g_3114,Drama Documentary
g_3115,Fake Documentary
g_3115,Mockumentary
g_3117,Making-Of Documentary
g_3128,Legend
g_3135,Novella
g_3137,Narrative
g_3138,Short Story
g_3144,Comedy
g_3145,Tragedy
g_3148,Milestone
g_3158,Intimate Play
g_3159,Compilation Film
g_3160,Franchise Film
g_3162,Propaganda Film
g_3163,Auteur movie
g_3164,Debut Film
g_3164,Debutfilm
g_3164,Deb??tfilm
g_3165,Black And White Film
g_3166,Direct-to DVD movie
g_3166,Direct-To-Video
g_3166,Made-For-Video
g_3166,Straight-To-Video
g_3167,Film Produced For TV
g_3167,Television Film
g_3167,TV Film
g_3168,Television Pilot
g_3168,TV Pilot
g_3172,Terrorism
g_3898,Musical
g_3918,injuries
g_4220,Cinema Novo
g_4221,Bangla Film
g_4221,Bengali Film
g_4844,very close shot
g_4865,Slow Motion
g_4865,Slowmotion
g_4866,Dolby Surround
g_4870,Score
g_5702,Film im Film
g_5702,Film in Film
g_5702,Film-im-Film
g_6033,Literary Fiction
g_6033,Literature
g_6352,Omniscient Narrator
g_6366,Musicvideo
g_6515,Claymation
g_6522,Action figure
g_6723,New Russian Film
g_7141,Spanish Cinema
g_7221,Direct-To-Internet Movie
g_7285,Japan
g_7286,Jidaigeki
g_7402,Magic Realism
g_7407,3D
g_7424,Non-fiction
g_7931,TV Show
g_8497,Manga
g_8741,children's book
g_8990,Amateur Actors
g_8990,Extra
g_8990,Statist
g_9120,Webcam
g_9260,Average person
g_9527,Music Album
g_9595,Prague Spring
g_10066,Twist in the End
g_10067,Inflection
g_10067,Inflexion
g_10067,Surprise
g_10067,Surprising Twist
g_10067,Turning Point
g_10105,Family Comedy
g_10107,Sport
g_10107,Sport Film
g_10107,Sports Film
g_10213,Emotions
g_10213,Gef??hle
g_10214,Exciting
g_10215,Emotionen > Spannend
g_10215,spannend
g_10215,Spannung
g_10215,Suspenseful
g_10215,Tense
g_10215,Thrilling
g_10216,Funny
g_10217,Feel-good
g_10217,Good-humoured
g_10217,Uplifting
g_10218,Chilled
g_10218,Entspannt
g_10218,Laidback
g_10218,Relaxed
g_10218,Understated
g_10219,Romantic
g_10220,Erotic
g_10220,Raunchy
g_10220,Sexy
g_10221,Ber??hrend
g_10221,Emotional
g_10221,Heartfelt
g_10221,Sentimental
g_10221,Touching
g_10222,Intellectually Stimulating
g_10222,Smart
g_10223,Ernst
g_10223,Serious
g_10224,Downbeat
g_10224,Miserable
g_10224,Misery
g_10224,Sad
g_10225,Bleak
g_10225,Dark
g_10225,d??ster
g_10225,Gloomy
g_10225,Gritty
g_10225,Hard-hitting
g_10225,Rough
g_10226,Creepy
g_10226,Scary
g_10226,Spine-chilling
g_10226,unheimlich
g_10227,Disquieting
g_10227,Disturbing
g_10227,Unsettling
g_10227,Verst??rend
g_10228,Goofy
g_10228,Offbeat
g_10228,Quirky
g_10281,Academy Award Winner
g_10282,Nominated for Academy Award
g_10464,Remake
g_10597,Open Ending
g_11083,Hollywood Star
g_13266,Unwilling Hero
g_13544,Sitcom
g_13547,Machismo
g_13849,Homosexual Subtext
g_14354,Couples film
g_14414,Trash
g_14415,Groteske
g_14415,Grotesque
g_14452,Musical
g_14453,Concert film
g_14666,Child Star
g_14687,70mm
g_14710,Torture Porn
g_14726,Mono
g_14727,Stereo
g_14740,Live show/recording/take
g_14926,Girls with Guns
g_14999,Parodie
g_14999,Parody
g_15038,J-Horror
g_15130,Asia-Horror
g_15505,New Indian Cinema
g_15505,Parallel Cinema
g_15588,Cannes Winner
g_16304,Horror comedy
g_17126,Crime Comedy
g_17321,Goya-Gewinner
g_17322,Goya-Nominierung
g_17580,Berlinale Winner
g_18322,Mature
g_18385,Action Comedy
g_18606,Dramedy
g_19454,Robinsonade
g_19644,Conspiracy theory film
g_3113,Reality Show
g_3113,Reality Soap
g_15520,Animated Film
g_15520,Cartoon Anime
g_2741,Knight's Tale
g_2741,Knights Tale
g_3118,Essay Film
