movieId,genreId
1,g_11
1,g_18
1,g_28
1,g_34
1,g_37
1,g_85
1,g_130
1,g_218
1,g_329
1,g_354
1,g_541
1,g_644
1,g_707
1,g_1033
1,g_1037
1,g_1110
1,g_1119
1,g_1505
1,g_3167
1,g_10215
1,g_10216
1,g_10224
10,g_11
10,g_12
10,g_13
10,g_939
11,g_11
11,g_12
11,g_13
11,g_17
11,g_49
11,g_50
11,g_104
11,g_151
11,g_1108
11,g_1109
11,g_1110
11,g_3148
11,g_10214
11,g_10215
11,g_10281
20,g_19
20,g_71
20,g_219
20,g_303
20,g_865
20,g_10219
20,g_10221
20,g_10224
22,g_14
22,g_17
22,g_35
22,g_50
22,g_104
22,g_145
22,g_541
22,g_1108
22,g_3160
22,g_10214
22,g_10216
22,g_10217
22,g_18385
36,g_16
36,g_49
36,g_104
36,g_114
36,g_864
36,g_865
36,g_1110
36,g_3167
36,g_10216
36,g_10217
36,g_10228
36,g_13544
64,g_73
64,g_209
64,g_219
64,g_301
64,g_303
64,g_329
64,g_865
64,g_3163
64,g_7142
64,g_10219
64,g_10221
64,g_10222
64,g_10281
67,g_54
67,g_92
67,g_302
67,g_303
67,g_1164
67,g_10224
67,g_10225
67,g_10227
79,g_12
79,g_28
79,g_31
79,g_81
79,g_92
79,g_104
79,g_329
79,g_939
79,g_2926
79,g_10215
79,g_10222
79,g_10223
79,g_10228
79,g_10281
81,g_17
81,g_34
81,g_52
81,g_84
81,g_85
81,g_303
81,g_10221
81,g_10223
99,g_18
99,g_69
99,g_71
99,g_73
99,g_129
99,g_130
99,g_302
99,g_865
99,g_3163
99,g_7141
99,g_10221
99,g_10222
99,g_10228
99,g_10281
99,g_14354
99,g_15588
100,g_35
100,g_49
100,g_87
100,g_250
100,g_1125
100,g_10215
100,g_10216
100,g_10218
100,g_10228
101,g_18
101,g_28
101,g_49
101,g_50
101,g_53
101,g_134
101,g_249
101,g_251
101,g_541
101,g_864
101,g_1080
101,g_1109
101,g_1110
101,g_2738
102,g_19
102,g_20
102,g_54
102,g_71
102,g_87
102,g_219
102,g_303
102,g_353
102,g_707
104,g_19
104,g_54
104,g_71
104,g_329
104,g_354
104,g_684
104,g_1119
104,g_10214
104,g_10222
104,g_10228
108,g_18
108,g_54
108,g_71
108,g_302
108,g_3163
108,g_10221
108,g_10222
108,g_10227
109,g_56
110,g_18
110,g_54
110,g_302
110,g_303
110,g_3163
110,g_10221
110,g_10222
110,g_10282
112,g_20
112,g_54
112,g_71
112,g_114
112,g_122
112,g_126
112,g_130
112,g_302
112,g_303
112,g_707
124,g_92
128,g_14
128,g_17
128,g_34
128,g_10215
128,g_10221
129,g_13
129,g_17
129,g_34
129,g_10215
129,g_10218
129,g_10221
129,g_10228
129,g_10281
129,g_17580
140,g_44
140,g_53
140,g_71
140,g_219
140,g_302
140,g_353
140,g_3163
140,g_10216
140,g_10220
140,g_10225
140,g_10227
140,g_10228
144,g_13
144,g_33
144,g_301
144,g_302
144,g_353
144,g_354
144,g_1178
144,g_10219
144,g_10221
144,g_10223
146,g_12
146,g_14
146,g_28
146,g_33
146,g_81
146,g_2926
146,g_10214
146,g_10219
146,g_10221
146,g_10228
146,g_10281
146,g_10282
149,g_34
149,g_49
149,g_52
149,g_82
149,g_85
149,g_154
149,g_158
149,g_218
149,g_878
149,g_1049
149,g_2979
149,g_10214
149,g_10215
149,g_10225
149,g_10226
149,g_10227
152,g_11
152,g_50
152,g_104
152,g_864
152,g_1080
152,g_1108
152,g_1109
152,g_1163
152,g_1167
152,g_2979
152,g_10214
152,g_10215
152,g_10282
156,g_25
156,g_56
156,g_71
156,g_114
156,g_122
156,g_219
156,g_10216
156,g_10221
156,g_10223
157,g_11
157,g_50
157,g_1109
157,g_1163
157,g_1167
157,g_2979
157,g_3160
157,g_10215
157,g_10221
168,g_11
168,g_49
168,g_50
168,g_51
168,g_104
168,g_124
168,g_878
168,g_1109
168,g_2979
168,g_3160
168,g_10214
168,g_10216
168,g_10218
168,g_10282
172,g_11
172,g_50
172,g_329
172,g_864
172,g_1109
172,g_2896
172,g_2979
172,g_10214
172,g_10218
174,g_11
174,g_50
174,g_76
174,g_104
174,g_106
174,g_864
174,g_1109
174,g_1167
174,g_2979
174,g_3160
174,g_4866
174,g_10214
174,g_10215
174,g_10282
189,g_28
189,g_53
189,g_85
189,g_1119
193,g_11
193,g_50
193,g_51
193,g_104
193,g_1109
193,g_1167
193,g_2979
193,g_3160
193,g_10214
193,g_10215
199,g_11
199,g_50
199,g_51
199,g_52
199,g_104
199,g_878
199,g_1108
199,g_1109
199,g_1167
199,g_2979
199,g_3160
199,g_10213
199,g_10214
199,g_10215
199,g_10216
199,g_10223
199,g_10282
200,g_11
200,g_43
200,g_2979
200,g_10214
200,g_10215
201,g_11
201,g_50
201,g_1108
201,g_1109
201,g_1167
201,g_2896
201,g_2979
201,g_3160
201,g_10214
201,g_10215
214,g_39
214,g_50
214,g_141
214,g_157
214,g_1108
214,g_2579
214,g_10067
214,g_10215
214,g_10225
214,g_10227
214,g_14710
215,g_39
215,g_141
215,g_157
215,g_2579
215,g_10066
215,g_10214
215,g_10215
215,g_10225
215,g_10226
215,g_10227
216,g_44
216,g_87
216,g_127
216,g_130
216,g_303
216,g_524
216,g_1110
216,g_3163
216,g_10221
216,g_10223
216,g_10224
216,g_10227
246,g_28
246,g_134
246,g_193
246,g_6033
246,g_7286
246,g_10214
246,g_10216
246,g_10228
250,g_28
250,g_56
250,g_87
250,g_154
250,g_541
250,g_874
250,g_2738
250,g_10066
250,g_10067
250,g_10216
250,g_10225
250,g_10228
250,g_18385
252,g_17
252,g_22
252,g_35
252,g_50
252,g_154
252,g_1108
252,g_1110
252,g_6033
252,g_8741
252,g_10216
252,g_10217
252,g_10221
252,g_10282
266,g_33
266,g_127
266,g_130
266,g_227
266,g_302
266,g_1110
266,g_1164
266,g_1178
266,g_5702
266,g_6033
267,g_122
267,g_127
267,g_130
267,g_142
267,g_303
267,g_867
267,g_1123
267,g_1479
267,g_6033
267,g_10220
267,g_10222
269,g_19
269,g_49
269,g_87
269,g_227
269,g_1076
269,g_1195
269,g_2738
269,g_10215
269,g_10228
292,g_22
292,g_35
292,g_101
292,g_866
298,g_35
298,g_250
298,g_10214
298,g_10215
298,g_10216
298,g_10217
298,g_10218
302,g_141
302,g_142
302,g_302
302,g_353
302,g_818
302,g_10215
302,g_10220
302,g_10597
307,g_18
307,g_31
307,g_32
307,g_301
307,g_874
307,g_1101
307,g_1167
312,g_17
312,g_19
312,g_69
312,g_71
312,g_302
312,g_10221
312,g_10223
312,g_10282
336,g_191
336,g_864
336,g_1110
336,g_1167
336,g_10215
336,g_10223
336,g_10225
337,g_69
337,g_71
337,g_1045
337,g_6033
337,g_10221
337,g_10222
337,g_10224
346,g_18
346,g_28
346,g_49
346,g_193
346,g_1112
346,g_3148
346,g_3165
346,g_7286
346,g_10214
346,g_10215
346,g_10216
346,g_10222
346,g_10223
346,g_10224
377,g_49
377,g_169
377,g_864
377,g_874
377,g_1110
377,g_10214
377,g_10215
377,g_10226
377,g_10227
436,g_44
436,g_87
436,g_92
436,g_10225
445,g_71
445,g_79
445,g_302
445,g_10215
445,g_10227
445,g_10228
454,g_33
454,g_71
454,g_1024
454,g_10215
454,g_10219
454,g_10224
454,g_10282
455,g_49
455,g_69
455,g_71
455,g_126
455,g_303
455,g_10107
455,g_10216
455,g_10221
460,g_56
460,g_126
460,g_329
460,g_1055
460,g_1073
460,g_1134
460,g_1137
460,g_1150
460,g_10216
460,g_10217
460,g_10222
471,g_44
471,g_303
471,g_1135
471,g_1152
471,g_1167
471,g_1597
472,g_33
472,g_71
472,g_79
472,g_80
472,g_166
472,g_1150
473,g_53
473,g_87
473,g_301
473,g_303
473,g_878
473,g_3164
473,g_10215
473,g_10222
473,g_10225
473,g_10227
496,g_49
496,g_56
496,g_101
496,g_124
496,g_303
496,g_1115
496,g_3115
496,g_10216
496,g_10228
496,g_10282
497,g_50
497,g_104
497,g_134
497,g_707
497,g_818
497,g_1109
497,g_1140
497,g_6033
497,g_10221
497,g_10223
497,g_10224
511,g_44
511,g_49
511,g_302
511,g_353
511,g_1110
511,g_6033
515,g_33
515,g_49
515,g_71
515,g_79
515,g_166
515,g_251
515,g_864
515,g_865
515,g_1150
531,g_17
531,g_197
531,g_1122
531,g_6515
532,g_17
532,g_197
532,g_1122
532,g_10216
532,g_10217
532,g_10218
533,g_17
533,g_35
533,g_197
533,g_2731
533,g_6515
533,g_10216
533,g_10217
533,g_10218
533,g_10228
533,g_10281
548,g_28
548,g_49
548,g_79
548,g_87
548,g_134
548,g_141
548,g_193
548,g_301
548,g_303
548,g_1110
548,g_6033
548,g_7286
548,g_10215
548,g_10222
548,g_10223
548,g_10225
552,g_87
552,g_126
552,g_303
552,g_353
552,g_1088
570,g_69
570,g_219
570,g_302
570,g_1113
570,g_10215
570,g_10225
593,g_49
593,g_57
593,g_219
593,g_818
593,g_1107
593,g_1110
593,g_2979
593,g_3148
593,g_10221
593,g_10227
593,g_10228
595,g_17
595,g_50
595,g_69
595,g_71
595,g_135
595,g_353
595,g_1037
595,g_1045
595,g_1055
595,g_1073
595,g_1110
595,g_1133
595,g_1146
595,g_1147
595,g_1152
595,g_1167
595,g_3165
595,g_4870
595,g_6033
595,g_10214
595,g_10215
595,g_10221
595,g_10222
595,g_10223
595,g_10224
595,g_10282
595,g_11083
595,g_14666
595,g_15588
596,g_44
596,g_50
596,g_71
596,g_1110
596,g_1115
